duplication_type	metric	young_gene	partner_gene	young_log2_expression	partner_log2_expression
TD	15DAF	Pbre1_01G242400	Pbre1_01G242200	5.104128334708458	4.234863405064938
TD	15DAF	Pbre1_05G194000	Pbre1_05G193800	0.02565536230145836	0.07199188997793023
TD	15DAF	Pbre1_17G255600	Pbre1_17G255400	0.0	0.0
TD	15DAF	Pbre1_01G314800	Pbre1_01G314600	0.0	0.27056003847755966
TD	15DAF	Pbre1_03G416200	Pbre1_03G416000	7.951585935730543	8.275496007324424
TD	15DAF	Pbre1_07G326000	Pbre1_07G325800	4.62954815063422	0.28462783871726216
TD	15DAF	Pbre1_10G342000	Pbre1_10G341800	0.0	0.0
TD	15DAF	Pbre1_07G491800	Pbre1_07G491600	0.0	0.06569224398881592
TD	15DAF	Pbre1_08G070600	Pbre1_08G070400	0.18839965852539184	1.4296239977480418
TD	15DAF	Pbre1_14G201600	Pbre1_14G201400	0.0	0.02542432937291135
TD	15DAF	Pbre1_04G040000	Pbre1_04G039800	2.393373089221893	0.4134001936961513
TD	15DAF	Pbre1_10G409800	Pbre1_10G409600	0.12531915105046385	0.08980862228333036
TD	15DAF	Pbre1_15G246400	Pbre1_15G246200	0.0	4.0567606464580805
TD	15DAF	Pbre1_03G370400	Pbre1_03G370200	0.0	0.8998933184260081
TD	15DAF	Pbre1_04G070400	Pbre1_04G070200	0.0	0.024750862829417502
TD	15DAF	Pbre1_03G030800	Pbre1_03G030600	0.18109746075128955	0.10671547987891891
TD	15DAF	Pbre1_08G139400	Pbre1_08G139200	0.09792626740290095	0.0
TD	15DAF	Pbre1_07G029600	Pbre1_07G029400	2.3287503134662018	3.7552423614976185
TD	15DAF	Pbre1_03G445800	Pbre1_03G445600	0.053200328878732196	0.0
TD	15DAF	Pbre1_11G403400	Pbre1_11G403200	0.0	0.0
TD	15DAF	Pbre1_06G313800	Pbre1_06G313600	1.711247755124616	1.250933689241949
TD	15DAF	Pbre1_07G202800	Pbre1_07G202600	0.5409358611186224	0.657007001085011
TD	15DAF	Pbre1_03G071800	Pbre1_03G072000	2.1916242355362403	5.320976864994385
TD	15DAF	Pbre1_10G420800	Pbre1_10G420600	5.000794300511527	4.159705306318825
TD	15DAF	Pbre1_09G228600	Pbre1_09G228400	1.1857695168436344	3.349274256972674
TD	15DAF	Pbre1_07G091600	Pbre1_07G091400	2.336993704569452	3.713389649508675
TD	15DAF	Pbre1_10G482800	Pbre1_10G482600	0.47863535261039	0.16071241481103074
TD	15DAF	Pbre1_16G459600	Pbre1_16G459400	1.4064256475296533	3.9751680133328224
TD	15DAF	Pbre1_01G141000	Pbre1_01G140800	3.5611546649221917	1.4305004567089803
TD	15DAF	Pbre1_10G019200	Pbre1_10G019000	8.933009462442035	4.432167176935438
TD	15DAF	Pbre1_09G255400	Pbre1_09G255200	0.0	0.0
TD	15DAF	Pbre1_01G228000	Pbre1_01G227800	0.10242970056133442	0.0
TD	15DAF	Pbre1_08G340600	Pbre1_08G340400	1.0641737430697162	0.025466853548952634
TD	15DAF	Pbre1_03G366600	Pbre1_03G366400	0.1362911506475676	5.531355289011052
TD	15DAF	Pbre1_11G448800	Pbre1_11G448600	2.9232960102542775	5.204650328917098
TD	15DAF	Pbre1_15G769400	Pbre1_15G769200	1.5441396321464564	4.333913994979172
TD	15DAF	Pbre1_12G312200	Pbre1_12G312000	7.193251648759255	11.547992374622842
TD	15DAF	Pbre1_06G005800	Pbre1_06G005600	4.714845389193345	6.668657736583605
TD	15DAF	Pbre1_06G237800	Pbre1_06G237600	0.0	0.0
TD	15DAF	Pbre1_02G312000	Pbre1_02G311800	0.0	0.0
TD	15DAF	Pbre1_03G046400	Pbre1_03G046600	5.706079771149524	5.474505742624539
TD	15DAF	Pbre1_02G381200	Pbre1_02G381000	5.985210814817882	2.187937465891099
TD	15DAF	Pbre1_08G182600	Pbre1_08G182400	0.4144289143009688	0.0
TD	15DAF	Pbre1_04G061600	Pbre1_04G061400	0.8875595830804689	0.024499827505160467
TD	15DAF	Pbre1_06G072400	Pbre1_06G072200	0.5112807955698101	0.6482067931722073
TD	15DAF	Pbre1_10G578600	Pbre1_10G578400	4.91735966657676	0.16240212501028733
TD	15DAF	Pbre1_02G072400	Pbre1_02G072200	4.287326304252506	2.6950746928568483
TD	15DAF	Pbre1_05G190800	Pbre1_05G190600	1.034987576091252	0.8077011273244471
TD	15DAF	Pbre1_08G013000	Pbre1_08G012800	0.020325109468959626	4.690199333840225
TD	15DAF	Pbre1_09G207600	Pbre1_09G207400	0.07832837241418743	1.2802900267315864
TD	15DAF	Pbre1_10G212400	Pbre1_10G212200	5.831162048481289	6.913307106559426
TD	15DAF	Pbre1_02G310600	Pbre1_02G310400	0.9890655988512097	4.379047193726007
TD	15DAF	Pbre1_16G281600	Pbre1_16G281400	0.5829615384070582	2.1284448562397813
TD	15DAF	Pbre1_01G192600	Pbre1_01G192400	0.05838438552476116	2.882131021843245
TD	15DAF	Pbre1_05G347000	Pbre1_05G346800	0.11035522465333017	0.0
