duplication_type	trajectory	role	log2_TPM_plus_1
TRD	Neo(C)	P	7.704897321802353
TRD	Neo(C)	P	7.879517847997225
TRD	Neo(C)	P	3.6386943136728567
TRD	Neo(C)	P	8.337976736804643
TRD	Neo(C)	P	6.960908080948056
TRD	Neo(C)	P	8.521322614029332
TRD	Neo(C)	P	8.337976736804643
TRD	Neo(C)	P	8.16234569304802
TRD	Neo(C)	P	8.521322614029332
TRD	Neo(C)	P	6.930065164977731
TRD	Neo(C)	P	8.283372762852034
TRD	Neo(C)	P	7.47623611584738
TRD	Neo(C)	P	5.186388106825818
TRD	Neo(C)	P	4.05568393336365
TRD	Neo(C)	P	8.976850025070101
TRD	Neo(C)	P	5.700841485130175
TRD	Neo(C)	P	2.9634682360408027
TRD	Neo(C)	P	3.24226815011133
TRD	Neo(C)	P	6.64707190270346
TRD	Neo(C)	P	6.640792167058129
TRD	Neo(C)	P	7.950659726529994
TRD	Neo(C)	P	6.852702302035433
TRD	Neo(C)	P	5.0532557435850665
TRD	Neo(C)	C	0.7368683532433943
TRD	Neo(C)	C	0.13050524494973206
TRD	Neo(C)	C	0.014414094695409415
TRD	Neo(C)	C	0.009966736329294519
TRD	Neo(C)	C	0.4380181277702571
TRD	Neo(C)	C	0.016361053466443495
TRD	Neo(C)	C	0.6320469852984942
TRD	Neo(C)	C	0.6449935852663213
TRD	Neo(C)	C	0.006266183110846864
TRD	Neo(C)	C	1.1278171538517132
TRD	Neo(C)	C	0.8146067493328141
TRD	Neo(C)	C	1.6385897932547517
TRD	Neo(C)	C	0.13108259735343675
TRD	Neo(C)	C	2.497784107846418
TRD	Neo(C)	C	2.1399413662165028
TRD	Neo(C)	C	0.05707613386169567
TRD	Neo(C)	C	0.384550333295819
TRD	Neo(C)	C	0.538262179387307
TRD	Neo(C)	C	0.14277523719441176
TRD	Neo(C)	C	0.022146908408510423
TRD	Neo(C)	C	0.024594384544277228
TRD	Neo(C)	C	0.022467244583209273
TRD	Neo(C)	C	0.13844861655475244
TRD	Neo(C)	C	0.04932918738715562
TRD	Neo(C)	C	0.009100610160914367
TRD	Neo(C)	C	2.062601148690857
TRD	Neo(C)	C	0.3860942943328603
TRD	Neo(C)	C	1.0564168227216524
TRD	Neo(C)	C	0.02229063047843227
TRD	Neo(C)	C	0.6892307147754583
TRD	Neo(C)	C	0.15481864900804146
TRD	Neo(C)	C	0.4617682902548326
TRD	Neo(C)	C	1.160741130614646
TRD	Neo(C)	C	1.161537416908072
TRD	Neo(C)	C	0.058088325055470375
TRD	Neo(C)	C	0.02379825712598995
TRD	Neo(C)	C	0.01342343009241572
TRD	Neo(C)	C	0.0855585854379908
TRD	Neo(C)	C	0.014135062816696624
TRD	Neo(C)	C	0.14228642719303233
TRD	Neo(C)	C	0.03729740333363108
TRD	Neo(C)	C	0.13781126586733242
TRD	Neo(C)	C	0.02551480986586505
TRD	Neo(C)	C	0.07391937947271177
TRD	Neo(C)	C	0.332792130159762
TRD	Neo(C)	C	2.7409048280710775
TRD	Neo(C)	C	0.02203987707179642
TRD	Neo(C)	C	0.05221554457409772
TRD	Neo(C)	C	0.9229084893178492
TRD	Neo(C)	C	1.6087263838760326
TRD	Neo(C)	C	0.7149583534800757
TRD	Neo(C)	C	2.070400892305297
TRD	Neo(C)	C	6.229317885609022
TRD	Neo(C)	C	0.06567937815563094
TRD	Neo(C)	C	0.7476582242013126
TRD	Neo(C)	C	0.0698909395284243
TRD	Neo(C)	C	0.7788058602798877
TRD	Neo(C)	C	0.02213459547308763
TRD	Neo(C)	C	0.03271823625554342
TRD	Neo(C)	C	1.7798560091488589
TRD	Neo(C)	C	0.1270373709396412
TRD	Neo(C)	C	1.5046179349473516
TRD	Neo(C)	C	0.017425488009756875
TRD	Neo(C)	C	0.09308505870724906
TRD	Neo(C)	C	0.7224781197424488
TRD	Neo(C)	C	1.895402029421521
TRD	Neo(C)	C	0.2693202600918107
TRD	Neo(C)	C	0.45315089976015693
TRD	Neo(C)	C	0.4176066339511855
TRD	Neo(C)	C	2.0238997777603216
TRD	Neo(C)	C	0.6355960691527855
TRD	Neo(C)	C	0.342481736586012
TRD	Neo(C)	C	0.042495391299964075
TRD	Neo(C)	C	0.4224938823912774
TRD	Neo(C)	C	0.11061224658211294
TRD	Neo(C)	C	0.3508853081425935
TRD	Neo(C)	C	0.7578982729948518
TRD	Neo(C)	C	0.02423361615730856
TRD	Neo(C)	C	3.3324108916523327
TRD	Neo(C)	C	0.4230718167339573
TRD	Neo(C)	C	0.31121497394716363
TRD	Neo(C)	C	0.18274610628369606
TRD	Neo(C)	C	0.10419708070544902
TRD	Neo(C)	C	0.2860038328762114
TRD	Neo(C)	C	0.4626704592908294
TRD	Neo(C)	C	1.3916087251753533
TRD	Neo(C)	C	0.31594409853389405
TRD	Neo(C)	C	0.06038754743083347
TRD	Neo(C)	C	0.08606337084873024
TRD	Neo(C)	C	2.239542293674459
TRD	Neo(C)	C	0.010206226607019359
TRD	Neo(C)	C	0.017556854032875522
TRD	Neo(C)	C	0.2026022326396331
TRD	Neo(C)	C	0.08649845925242677
TRD	Neo(C)	C	0.0638554046390906
TRD	Neo(C)	C	0.016756357157461946
TRD	Neo(C)	C	1.6543730593704653
TRD	Neo(C)	C	0.03771137430705863
TRD	Neo(C)	C	0.30996718228429027
TRD	Neo(C)	C	0.20003241751782697
TRD	Neo(C)	C	0.009919454386973761
TRD	Neo(C)	C	0.03877000916640836
TRD	Neo(C)	C	0.04974459907431419
TRD	Neo(C)	C	0.5195350273969856
TRD	Neo(C)	C	0.35857180543112
TRD	Neo(C)	C	0.895159637481461
TRD	Neo(C)	C	0.07292989688105836
TRD	Neo(C)	C	0.01073186745061886
TRD	Neo(C)	C	0.009530871854458361
TRD	Neo(C)	C	0.014020767969586645
TRD	Neo(C)	C	0.012358183184205328
TRD	Neo(C)	C	0.5314405188233953
TRD	Neo(C)	C	1.338743488711448
TRD	Neo(C)	C	0.811823646221891
TRD	Neo(C)	C	0.24664887104504682
TRD	Neo(C)	C	0.029811644940022232
TRD	Neo(C)	C	0.1161085357901583
TRD	Neo(C)	C	0.020661020379838444
TRD	Neo(C)	C	0.09828277419696055
TRD	Neo(C)	C	0.011209838596595774
TRD	Neo(C)	C	0.5241206935434923
TRD	Neo(C)	C	0.3719151015752338
TRD	Neo(C)	C	0.059197200161922585
TRD	Neo(C)	C	2.519530414634961
TRD	Neo(C)	C	2.7998657229715223
TRD	Neo(C)	C	2.710309941819454
TRD	Neo(C)	C	0.006777226690897467
TRD	Neo(C)	C	0.16407698251935543
TRD	Neo(C)	C	0.16835941592281017
TRD	Neo(C)	C	0.1354300182914857
TRD	Neo(C)	C	1.2936822201974965
TRD	Neo(C)	C	0.4116681209338229
TRD	Neo(C)	C	0.3272876458784735
TRD	Neo(C)	C	0.037876039411498676
TRD	Neo(C)	C	0.010660265524294199
TRD	Neo(C)	C	0.006132348348718524
TRD	Neo(C)	C	0.036994639681916984
TRD	Neo(C)	C	1.4811817264259906
TRD	Neo(C)	C	0.6939335337497504
TRD	Neo(C)	C	0.1838138163912769
TRD	Neo(C)	C	1.8971673529955726
TRD	Neo(C)	C	0.0710605973922093
TRD	Neo(C)	C	0.7933515707635069
